dataset_id,path,sha256,bytes,chars,lines,words,o200k_base_tokens,chars_per_o200k_token,chars_div_4_estimate,chars_div_3_estimate,runtime_visibility,duplicate_group_size
CURRENT_CLAUDE_FILES,CLAUDE.md,0d6e7453f51786046f53c3fcc22724ef9c9ec0963f638a897f343589b94fed19,8416,8361,173,1259,1975,4.2334,2091,2787,always_loaded_instruction_candidate,1
GPT,GPT56SOL_ULTRA_Validation/CLAUDE_CODE_TOKEN_STACK_SYNTHESIS_2026-08-13.md,10c55f13ed09df9cd3ba4e868a4e9e4e3c94672fdbdda673dac50504c063b7e9,33566,33229,448,3437,9088,3.6564,8308,11077,research_or_reference_not_runtime,1
GPT,GPT56SOL_ULTRA_Validation/claude-token-repo-union.csv,68413f41565660b363098c172c4c584a2fc6b7fc68a70adf041b4d40621aeb3d,94777,94764,369,1158,30887,3.0681,23691,31588,research_or_reference_not_runtime,1
GPT,GPT56SOL_ULTRA_Validation/claude-token-repo-union.json,46578aa8d101dc7b56a42ab54547a96a58808ff8046cbc73346b52b1b7b055fa,221911,221898,7519,13883,67315,3.2964,55475,73966,research_or_reference_not_runtime,1
GPT,GPT56SOL_ULTRA_Validation/claude-token-stack-decision.yaml,85050876addbc420c4de254a03efb22f8cd9d0a212b94a8dc67be4667524684e,9256,9256,218,1020,2285,4.0508,2314,3086,research_or_reference_not_runtime,1
K3,K3SWARM_MAX_Validation/changes.md,8d8d725d923b852345966f5f3b3819fcffe09831c19dac4ebcc21c0b7c3ac708,13169,12948,79,1703,3779,3.4263,3237,4316,research_or_reference_not_runtime,1
K3,K3SWARM_MAX_Validation/claude-token-stack-evaluierung-und-merge.md,1a12c1f309386d4d1bdd304c5855404e3196164af75639491bf3528ca4cec12c,29230,28781,250,3222,8596,3.3482,7196,9594,research_or_reference_not_runtime,1
KIMI,KIMI_AGENT/Claude-Code-Token-Stack-Konzept.md,4be0cb935e4a1fad8fde6a589398e5a630a518e2757807bf439f0c5f983a68e3,224270,219583,1351,26698,64242,3.4181,54896,73195,research_or_reference_not_runtime,1
OPUS,OPUS5_MAX_Validation/KONZEPT-v4.md,60641c5af5ab19e312b367eae83ac052c300ec88221646c5c13f2b1f5089d624,35215,34626,423,4661,9362,3.6986,8657,11542,research_or_reference_not_runtime,1
OPUS,OPUS5_MAX_Validation/VALIDATION.md,1f1f88d2e5e73aa7db6a4cb24eb7459823a16b3a07282c924acf756025a63306,17513,17187,276,2494,5270,3.2613,4297,5729,research_or_reference_not_runtime,1
OPUS,OPUS5_MAX_Validation/repo-catalog-v4.json,84258a9d295386d9433e0b0ed2d46fc5e7901c2a31e23e047b5ebdd0e6e78606,342893,341474,12466,28490,108122,3.1582,85369,113825,research_or_reference_not_runtime,1
OPUS,OPUS5_MAX_Validation/repo-catalog-v4.md,09af93a26977b620d5e6004a8b3a747af89adc1cdfcb1d44ecfed0d8ed062302,49449,49066,443,6949,17451,2.8116,12267,16356,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/01-1-WAVE.md,0b9aed9f4fc764950820ad14b94f2bc3657a32003cb21a81d53c86167ba6fa25,5229,5124,107,635,1590,3.2226,1281,1708,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/ABSCHLUSSBERICHT.md,a43c4b78cab7daf3a977d5277ecf302a23eeba7340221aaeeacf4551a26db033,30857,30408,573,4606,9171,3.3157,7602,10136,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/LADDER-ARCHITECTURE.md,010fe314f917363f7528b825c9ac100c12ac362ef6266ecf2ef022572d729df6,19291,19004,404,2740,5769,3.2942,4751,6335,research_or_reference_not_runtime,1
SQUEEZ_RTK_REFERENCE,Squeez-RTK-Ladder/MASTERPLAN.md,98bcc86d501fa23a833477c349cba8e1bacc98e76053cb5dca929ce0720d6aa8,5002,4913,64,624,1568,3.1333,1229,1638,research_or_reference_not_runtime,1
