paket	pfad	sha256	bytes	basename	basename_kollision	dublette_gruppe	hook_events	mutation	surface	aktion	notiz
gpt56sol	README.md	5e0bc8f70b0c42298906db5999bf947d200ba431c158e4abcba3487c43c2386c	6790	README.md	ja				none	angepasst	Herkunftsabschnitt, MERGE-MANIFEST-Verweis, Phase-0-Hinweis
gpt56sol	SHA256SUMS.txt	c015496256267d351ca2786e3e7d43b2e35cefac179f503822bcc2a057bf5330	2969	SHA256SUMS.txt	nein				none	neu_erzeugt	nach Zusammenfuehrung neu berechnet - alte Summen ungueltig
gpt56sol	bin/claudestack.mjs	ab6e1e856015010577ba8e1c8636256ff85d2560796af69beeac5876e20b7b71	2871	claudestack.mjs	ja			none	none	angepasst	Unterbefehl evidence ergaenzen
gpt56sol	config/context-surface-owners.json	3dc05defa1b6d7ca36e3228ec92c38c1445169b7e7e53b15a369b35ad7a1b4c3	2219	context-surface-owners.json	nein				none	angepasst	C.3.2 - Zusammenfuehrung dreier Registries
gpt56sol	config/token-stack.default.json	d7c85722f5e0c72d9beffa1e2f55978bef7640b7111fc052cf91f8a0221e5757	435	token-stack.default.json	nein				none	angepasst	mode off statt shadow bis Phase 3
gpt56sol	config/token-stack.schema.json	f03a98fef7b16dcb77f5505d7de9c0dff51abc76c4acc2cb646df4c16c2ef171	1708	token-stack.schema.json	nein				none	angepasst	Felder fuer Canary-Pfad und optionale Hooks
gpt56sol	docs/ARCHITECTURE.md	8c14a84bfc032e4a1975db318611abaa0510c97bf6ca40e1df985eaae45abc8a	6046	ARCHITECTURE.md	nein				none	angepasst	Absatz zu optionalen Hooks und Nichtregistrierung
gpt56sol	docs/BENCHMARK.md	977f4008a7d334916a2b76721e4c73b2b9c7a019edb2827240559b6ac453b0f2	6185	BENCHMARK.md	nein				none	angepasst	gepaarter Aufbau, Endpunktdefinition fresh input
gpt56sol	docs/DECISIONS.md	bc0222cee388f10497fde194afbfb184fe4c9fb9babd9cbc2c6e8a9f8b4a957d	8250	DECISIONS.md	nein				none	angepasst	ADR-015 bis ADR-017 ergaenzen
gpt56sol	docs/MIGRATION.md	5f528fc0a2d35c2f01c3dd9570be510214fde0d79841bacb56ffdfd20e2c609b	5198	MIGRATION.md	nein				none	angepasst	Phase 0 als Vorbedingung voranstellen
gpt56sol	docs/REPO-MATRIX.md	4c3578f5e2b1167950c7128599cc2152ce5f75dc8dc08c335202b14488cf1266	8444	REPO-MATRIX.md	nein				none	angepasst	C.3.6 - Divergenzspalten opus_score, k3_score, dissens
gpt56sol	docs/SECURITY.md	d86aefbd8f02bbdae506353c53b9702d9dadb4183a4dba5e1d61a7b1b6d4725c	5726	SECURITY.md	nein				none	angepasst	Guard-Namenskollision und Deny-Gate im Quellrepo
